,score,error,parallel_error,note,rhythm,directed_interval
0,0.795599567,0.024191931,0.562895237,0.063256185,0.022158842,0.123097373
1,1.99284169,0.020357484,1.813326798,0.05923037,0.023173596,0.076753441
2,0.472320208,0.020879471,0.281791266,0.040911186,0.017496837,0.111241448
3,0.982636127,0.040185572,0.710113991,0.060898746,0.046188042,0.125249776
4,0.491979467,0.025119199,0.297023227,0.053560069,0.019827839,0.096449134
5,1.049268979,0.026533563,0.873892433,0.039355528,0.017566617,0.091920838
6,2.058943211,0.035023628,1.843460284,0.047122929,0.03412474,0.099211629
7,0.964217466,0.017112708,0.792292188,0.028467621,0.02013864,0.106206309
8,1.579646121,0.032702785,1.350561033,0.0600036,0.011289697,0.125089006
9,0.449667137,0.011144597,0.296355759,0.044223968,0.016030139,0.081912674
10,0.868831289,0.022070113,0.721722109,0.059244192,0.011653677,0.054141197
11,0.508097949,0.031541868,0.355554274,0.044947972,0.012432353,0.063621482
12,0.823837632,0.024199888,0.662402483,0.041843044,0.017320737,0.078071479
13,0.557816627,0.035173062,0.322369209,0.058329687,0.017362319,0.124582351
14,3.914693519,0.03281361,3.75699844,0.043597824,0.013702182,0.067581463
15,0.689054642,0.02360288,0.453928975,0.054548701,0.022158842,0.134815245
16,0.22110053,0.016803382,0.024976953,0.042127603,0.015322357,0.121870236
17,1.038681339,0.038093601,0.814063658,0.050222617,0.02023242,0.116069043
18,0.848967717,0.027149962,0.612093434,0.057743893,0.019857346,0.132123081
19,0.782180349,0.016666518,0.612093434,0.042789432,0.021067166,0.089563798
20,0.476933834,0.014104577,0.298490008,0.062926909,0.019914173,0.081498167
21,0.536421605,0.020357484,0.329695782,0.054498986,0.010795205,0.121074148
22,0.891219223,0.039972927,0.732657292,0.033381043,0.025608622,0.059599339
23,0.889180539,0.042659766,0.681061708,0.04910713,0.039254131,0.077097803
24,1.050642398,0.056774509,0.83371347,0.046731147,0.045797613,0.067625658
25,0.580826232,0.03246114,0.333869146,0.063965736,0.022158842,0.128371368
26,0.799774243,0.034212397,0.591761659,0.052889211,0.020080816,0.100830159
27,0.822860532,0.011950231,0.556113366,0.062220888,0.0222426,0.170333447
28,0.472932598,0.027143312,0.274746485,0.065404497,0.0108013,0.094837005
29,0.696133627,0.031854417,0.536090702,0.035444108,0.021067166,0.071677234
30,0.468839212,0.026599524,0.289206826,0.056307998,0.01490043,0.081824433
31,1.487901774,0.030577962,1.230864251,0.067604858,0.01757363,0.141281073
32,1.49276733,0.020256131,1.264586559,0.074672947,0.025573041,0.107678652
33,0.555019865,0.02310465,0.377776416,0.048611798,0.036997678,0.068529323
34,0.898303515,0.014169559,0.690791161,0.041755552,0.016848482,0.13473876
35,1.845454901,0.043136078,1.686815626,0.024805512,0.02013864,0.070559046
36,1.423283085,0.043070307,1.208884532,0.054771643,0.022158842,0.094397761
37,0.698111343,0.044695213,0.503150189,0.031330946,0.0222426,0.096692395
38,1.693718684,0.023087944,1.503875495,0.067306203,0.023147925,0.076301117
39,0.450640705,0.033510262,0.244219097,0.038246819,0.013815308,0.120849219
40,1.596896739,0.015735253,1.401605255,0.04182628,0.010629081,0.12710087
41,0.531575708,0.02731843,0.326725549,0.057083219,0.01409581,0.1063527
42,0.946900368,0.067762638,0.676299039,0.046588013,0.024933372,0.131317305
43,0.861170621,0.022175487,0.636255017,0.035091352,0.009537233,0.158111532
44,0.837179187,0.05958288,0.562895237,0.044829052,0.011289697,0.158582321
45,0.576307467,0.040185572,0.338149519,0.040599374,0.02401495,0.133358052
46,0.224211376,0.034369239,0.028920683,0.054056153,0.027932614,0.078932687
47,2.068344925,0.034525515,1.88048705,0.03783802,0.026763023,0.088731317
48,0.428662143,0.017207137,0.268045351,0.042502328,0.025501756,0.075405571
49,0.494456473,0.059349916,0.271354553,0.052212672,0.010562945,0.100976387
50,0.778734518,0.035251054,0.570901786,0.055367706,0.007922204,0.109291767
51,1.457579633,0.0199824,1.306902197,0.043173992,0.017496837,0.070024207
52,0.277800035,0.029063625,0.028179127,0.035710937,0.021067166,0.163779181
53,1.29608695,0.039916635,1.066662823,0.038246926,0.037948726,0.113311842
54,0.56379603,0.024259013,0.323231158,0.048260039,0.012404457,0.155641363
55,0.44659997,0.022266272,0.247271836,0.054956364,0.009537233,0.112568265
56,0.756563775,0.050322974,0.536090702,0.053831542,0.005126339,0.111192217
57,0.772694303,0.02011723,0.589699772,0.039642355,0.022158842,0.101076104
58,0.74286147,0.025469508,0.587829688,0.03650843,0.017148226,0.075905618
59,0.800756722,0.013571656,0.576967618,0.044532486,0.016355415,0.149329548
60,0.309453404,0.023130906,0.036032326,0.050911423,0.048985245,0.150393505
61,1.320719608,0.031933308,1.086056692,0.046193063,0.020115941,0.136420605
62,0.891982401,0.015497956,0.686866211,0.038179013,0.019175572,0.13226365
63,0.617124014,0.021944249,0.366328646,0.041595546,0.027304196,0.159951377
64,0.738808434,0.013404105,0.596980016,0.032476159,0.01986271,0.076085445
65,1.458838531,0.022008091,1.247497552,0.055054839,0.018818511,0.115459539
66,0.186595591,0.032765388,0,0.051877703,0.018767576,0.083184924
67,0.596104514,0.030490014,0.366328646,0.066842532,0.013836256,0.118607066
68,0.777068158,0.016173133,0.644738417,0.037982418,0.005361646,0.072812543
69,0.521227021,0.014672061,0.297023227,0.055286843,0.017496837,0.136748054
70,3.009549895,0.024957578,2.849222803,0.04592049,0.01986271,0.069586315
71,0.241260197,0.030896748,0.026481589,0.056093387,0.0222426,0.105545874
72,0.575023471,0.066024272,0.297023227,0.044152452,0.012977036,0.154846484
73,0.641258671,0.02386175,0.477819973,0.03304953,0.022158842,0.084368576
74,0.864359542,0.035173062,0.644738417,0.052647791,0.022158842,0.10964143
75,0.530619356,0.031917185,0.350401314,0.029073606,0.008166253,0.111060998
76,1.654049117,0.023133789,1.484344644,0.044048082,0.017093313,0.085429289
77,0.870826971,0.018717691,0.612093434,0.048437783,0.01038484,0.181193223
78,1.299453075,0.013693384,1.179399544,0.039512205,0.01204507,0.054802872
79,0.255011365,0.015960329,0.028920683,0.065885953,0.023147925,0.121096476
80,0.850520982,0.035781674,0.662402483,0.04852586,0.009344438,0.094466528
81,0.850471758,0.029789542,0.641075131,0.045109901,0.02075558,0.113741605
82,0.849556754,0.015292007,0.650104358,0.049362098,0.012965935,0.121832356
83,0.428241081,0.05147712,0.215018988,0.054938359,0.013065895,0.093740719
84,0.95387165,0.01938808,0.811156288,0.047325608,0.023390047,0.052611628
85,1.515550626,0.057143815,1.195388214,0.044874027,0.047371783,0.170772788
86,1.590452762,0.061168027,1.300208716,0.062688296,0.022763558,0.143624166
