,score,error,parallel_error,note,rhythm,undirected_interval,directed_interval
0,0.060313437,0.01906876,0,0.010308977,0.024458734,0.003774157,0.002702809
1,0.119941237,0.025512161,0.069776885,0.005293328,0.008522337,0.00704092,0.003795606
2,0.235897466,0.040410596,0.156997991,0.007868127,0.018448266,0.008666385,0.0035061
3,0.177828842,0.038819738,0.086658389,0.009987713,0.032562958,0.004647293,0.005152751
4,0.09421577,0.06465291,0,0.007158668,0.017200164,0.003531997,0.00167203
5,0.143765731,0.095544458,0,0.009849262,0.028366154,0.006124054,0.003881803
6,0.0794217,0.051420625,0,0.005803745,0.016713357,0.003272801,0.002211172
7,0.235468922,0.020789817,0.18009453,0.007605807,0.014246799,0.008124983,0.004606986
8,0.083147464,0.053259362,0,0.008925087,0.015312132,0.003770844,0.001880039
9,0.089633639,0.038892176,0,0.007367163,0.033256118,0.006520955,0.003597226
10,0.095022186,0.035298138,0,0.008451459,0.037437334,0.010342041,0.003493215
11,0.16069512,0.030072091,0.105694822,0.005589941,0.010979083,0.005617238,0.002741944
12,0.054330363,0.024478117,0,0.007276074,0.013235341,0.006006363,0.003334467
13,0.106512231,0.075363814,0,0.00723676,0.016121595,0.005712941,0.002077122
14,0.073399499,0.034317653,0,0.007434179,0.020111793,0.00806936,0.003466514
15,0.081756909,0.036220269,0,0.007545041,0.031092216,0.003929548,0.002969836
16,0.100798815,0.064094982,0,0.007051676,0.015290898,0.008764383,0.005596876
17,0.060185039,0.0216802,0,0.008262531,0.015204048,0.011434316,0.003603944
18,0.140245528,0.108647766,0,0.006355038,0.012874509,0.008131825,0.00423639
19,0.121804062,0.059674138,0,0.007572953,0.045607202,0.006459866,0.002489903
20,0.092547283,0.061757412,0,0.004974452,0.015891747,0.006775145,0.003148527
21,0.047101379,0.023108447,0,0.006063467,0.01392031,0.002376463,0.001632692
22,0.148379669,0.043782276,0.075673523,0.005121334,0.019609789,0.002628016,0.001564731
23,0.089973054,0.063866616,0,0.005782873,0.012450082,0.004831979,0.003041503
24,0.087460215,0.041338145,0,0.005824604,0.035398832,0.002851868,0.002046767
25,0.205974193,0.081284784,0.086194976,0.009745544,0.019418645,0.0057618,0.003568444
26,0.096773931,0.061556965,0,0.005916454,0.01699997,0.007399219,0.004901322
27,0.054357065,0.022560503,0,0.007902894,0.014426849,0.005920349,0.003546471
28,0.064765432,0.033021334,0,0.008011315,0.01683317,0.003840656,0.003058957
29,0.107919955,0.070534542,0,0.008268399,0.017618041,0.007001192,0.00449778
30,0.089356581,0.05806056,0,0.009472953,0.009519321,0.00906051,0.003243237
31,0.129633751,0.013064994,0.090553148,0.009755403,0.006520684,0.005679188,0.004060334
32,0.066327903,0.034159215,0,0.008101659,0.01894049,0.002486171,0.002640367
33,0.163631229,0.033631072,0.096517727,0.007417334,0.013670148,0.008194862,0.004200085
34,0.139719281,0.04471152,0.068298561,0.004906321,0.01257363,0.006031135,0.003198113
35,0.122796908,0.021750797,0.067441257,0.004602479,0.019619713,0.006673147,0.002709515
36,0.167569439,0.034510491,0.093711979,0.008384988,0.020589839,0.005600002,0.004772139
37,0.103386711,0.054039936,0,0.008811878,0.021716526,0.012500957,0.006317414
38,0.101030953,0.039779556,0,0.018197864,0.036348237,0.003987658,0.00271764
39,0.056266749,0.033884784,0,0.006093793,0.00784949,0.005752206,0.002686477
40,0.164215398,0.090477707,0,0.007614369,0.055045851,0.006599829,0.004477643
41,0.092176278,0.051389215,0,0.00753569,0.019797567,0.008148939,0.005304868
42,0.115396411,0.027927432,0.055389898,0.008755451,0.016535599,0.003889885,0.002898147
43,0.094437067,0.040162579,0,0.005533987,0.042617419,0.003742762,0.00238032
44,0.147240743,0.023311627,0.086194976,0.008552474,0.0172886,0.007971664,0.003921402
