,score,error,parallel_error,note,rhythm,undirected_interval,directed_interval
0,0.917279602,0.084602531,0.780232441,0.009915569,0.019233179,0.014529735,0.008766147
1,0.320825408,0.031190487,0.244219097,0.009070552,0.012598187,0.015183471,0.008563613
2,1.005310019,0.074630349,0.879188751,0.00868533,0.03340083,0.005578223,0.003826536
3,0.647596914,0.023338098,0.586125834,0.010435694,0.019172157,0.005809932,0.002715201
4,0.910511724,0.029746095,0.843057706,0.010051307,0.010010878,0.010864514,0.006781222
5,1.058802046,0.183305483,0.83732262,0.009598942,0.015075016,0.009262984,0.004237
6,0.665326424,0.030465887,0.605663362,0.010436322,0.007785889,0.006035665,0.0049393
7,1.95540583,0.095799925,1.810094487,0.006205135,0.031872946,0.00730066,0.004132678
8,0.292951139,0.069598236,0.187860844,0.007180555,0.016064039,0.007210474,0.00503699
9,0.765919229,0.078676267,0.658329741,0.004684647,0.010134859,0.007077276,0.00701644
10,0.299470386,0.053908369,0.214912806,0.006541563,0.014987832,0.00530123,0.003818587
11,0.453445245,0.033594887,0.383772867,0.009419783,0.011828263,0.009894699,0.004934747
12,0.966867999,0.040313864,0.879188751,0.013907501,0.025608622,0.004719997,0.003129264
13,0.356231949,0.05011073,0.247976314,0.007889997,0.040593637,0.004435472,0.005225799
14,0.19239094,0.144623596,0.020072803,0.008671062,0.008746514,0.006208845,0.00406812
15,0.254047063,0.076128282,0.144921223,0.004488855,0.016164836,0.008516327,0.003827541
16,0.389859153,0.063198192,0.255848578,0.01577194,0.045131311,0.005854993,0.00405414
17,0.434223088,0.100961446,0.268641007,0.007557028,0.045072932,0.00829398,0.003696695
18,0.318001079,0.032765388,0.240574036,0.008343632,0.025144664,0.006676339,0.004497021
19,0.687998155,0.04750138,0.605663362,0.009012106,0.015045851,0.006456871,0.004318586
20,0.231228014,0.025546647,0.172389951,0.007576803,0.018093383,0.005343436,0.002277795
21,0.279249999,0.055208913,0.183164323,0.009611724,0.016355415,0.007813856,0.007095768
22,0.519007547,0.081073519,0.396496888,0.007437543,0.02023242,0.00856579,0.005201387
23,0.839133753,0.090477707,0.715213071,0.006818966,0.010646374,0.009176113,0.006801523
24,1.10213859,0.055208913,1.007403777,0.00767667,0.018283648,0.008293614,0.005271968
25,1.844703575,0.057845692,1.758377501,0.008805362,0.010543028,0.005190398,0.003941593
26,0.5622811,0.086858598,0.429825611,0.009960894,0.012427965,0.014428781,0.00877925
27,0.373628677,0.048654663,0.27790449,0.01978338,0.012776015,0.006458669,0.008051459
28,0.583220368,0.066162818,0.466236459,0.010258384,0.026593282,0.009564872,0.004404553
29,0.619998783,0.156025774,0.413293857,0.009454805,0.020726044,0.012890834,0.00760747
30,0.551019386,0.067425488,0.439594375,0.008273108,0.019827839,0.009645321,0.006253254
31,0.448830976,0.033999644,0.388396637,0.003505319,0.011289697,0.006752478,0.004887201
32,0.702899175,0.057968838,0.613848002,0.008565134,0.007247956,0.00983051,0.005438735
33,0.897394258,0.046942781,0.767545735,0.014071372,0.050903316,0.010997331,0.006933723
34,0.308330599,0.064110752,0.201480755,0.005818317,0.025554549,0.007324361,0.004041865
35,0.488756151,0.052898338,0.388396637,0.014474445,0.017995511,0.009330512,0.005660709
36,0.353000788,0.05011073,0.247976314,0.009490835,0.033300433,0.007722256,0.00440022
37,0.298479554,0.057758966,0.209330655,0.012464491,0.005197846,0.008441261,0.005286334
38,0.792115474,0.024123967,0.724606113,0.006256506,0.008793858,0.018449368,0.009885662
39,0.626880398,0.10178742,0.480806348,0.008875593,0.026925408,0.005326525,0.003159104
40,0.529283806,0.043681722,0.435634066,0.012064205,0.021513536,0.011032471,0.005357806
41,0.713711637,0.046267578,0.627991965,0.010077767,0.022264697,0.004063151,0.00304648
42,0.354192098,0.05011073,0.247976314,0.007646751,0.032424711,0.010199385,0.005834207
43,0.520180831,0.071429768,0.404889556,0.009630283,0.020425847,0.008424141,0.005381236
44,0.326435378,0.069420518,0.212085006,0.007784036,0.021146198,0.009439339,0.006560282
45,0.658176526,0.054584325,0.567809401,0.008590369,0.013167436,0.008361288,0.005663707
46,0.27266156,0.039431936,0.195375278,0.008535273,0.018605498,0.005509522,0.005204053
47,1.088379172,0.028952866,1.015951445,0.01135181,0.01755585,0.009809625,0.004757577
48,1.275995892,0.05011073,1.172251668,0.009252397,0.027377867,0.011407099,0.005596132
49,0.747543761,0.041074933,0.671602518,0.008869877,0.014924364,0.006446967,0.004625103
50,0.183054528,0.103162097,0.036632865,0.009243968,0.007264506,0.01660132,0.010149773
51,0.147399202,0.086169244,0.023258962,0.009991274,0.013042378,0.009483879,0.005453466
52,0.921594558,0.038134736,0.831665034,0.009786544,0.031294827,0.005899517,0.004813899
53,1.250944061,0.046531392,1.172251668,0.008859612,0.013764106,0.00442615,0.005111134
54,0.603259523,0.082655763,0.447735012,0.014466201,0.044944841,0.008446436,0.00501127
55,0.508050014,0.063708834,0.393133181,0.00746473,0.023490721,0.01284657,0.007405977
56,0.724002512,0.090915881,0.589931846,0.011305641,0.01713988,0.008491536,0.006217728
57,0.291841738,0.028561769,0.219797188,0.007343997,0.020900869,0.009133418,0.006104497
58,1.748250217,0.080769157,1.641152335,0.008818075,0.007785889,0.006160161,0.0035646
59,0.203373157,0.120636942,0,0.016037935,0.057584875,0.005986968,0.003126437
60,1.168730982,0.042048368,1.088519406,0.00725314,0.009873829,0.01336737,0.00766887
61,0.254310492,0.048860741,0.174442212,0.013014644,0.007007326,0.006110184,0.004875384
62,0.601471833,0.070047257,0.472682124,0.011365305,0.029236095,0.011677038,0.006464014
63,0.467889328,0.031506104,0.39963125,0.007600436,0.017093313,0.007409348,0.004648877
64,0.570051797,0.0462093,0.457910808,0.007788868,0.04524193,0.006032808,0.006868084
65,0.93343009,0.079706405,0.809779112,0.011099878,0.018258379,0.008424141,0.006162175
66,0.136381758,0.05694546,0.020638234,0.007609921,0.034132492,0.011311518,0.005744134
67,0.748155491,0.045238853,0.671602518,0.008827177,0.007891553,0.009681016,0.004914375
68,0.227723529,0.039698692,0.148177879,0.006523896,0.021468761,0.007792562,0.004061738
69,0.31151788,0.082460695,0.185482859,0.009533846,0.022158842,0.006925014,0.004956625
70,0.398089586,0.07983327,0.280133671,0.009446354,0.014641811,0.008469065,0.005565415
71,0.272653497,0.034656714,0.209330655,0.007521242,0.007945626,0.008333427,0.004865833
72,0.119628388,0.061793496,0.017654393,0.010796697,0.017861439,0.007950995,0.003571369
73,0.584520627,0.066523667,0.488438195,0.00854333,0.00955746,0.007266511,0.004191464
74,0.516140982,0.042301265,0.437691369,0.011207431,0.014510629,0.006374152,0.004056136
75,0.268851488,0.18819363,0.019537528,0.014216712,0.034439791,0.007913939,0.00454989
76,0.713742463,0.107232837,0.560799409,0.009341937,0.01986271,0.011005537,0.005500033
77,0.291206229,0.063708834,0.178696901,0.007034513,0.025604886,0.009765613,0.006395482
78,0.285003764,0.043867094,0.201480755,0.007399299,0.019886114,0.007675414,0.004695086
79,0.925024595,0.08553043,0.799262501,0.005897223,0.010935497,0.01469363,0.008705315
80,0.239752267,0.048939683,0.146531458,0.009026954,0.018118438,0.010653768,0.006481966
81,1.668959554,0.058803774,1.559245007,0.009342772,0.022158842,0.012114722,0.007294437
82,0.302927899,0.047423886,0.217817033,0.009861346,0.018818511,0.004595922,0.0044112
83,0.669559206,0.034648814,0.597694107,0.00709195,0.014778605,0.009905279,0.00544045
84,0.104770876,0.046013618,0.016651302,0.007193348,0.010301134,0.015377155,0.009234319
85,0.691598322,0.03076322,0.622256878,0.011569184,0.019307078,0.004189627,0.003512335
86,0.987050135,0.03831997,0.896427746,0.010176283,0.012621609,0.018340652,0.011163875
87,0.786475587,0.04587602,0.701699942,0.00743609,0.014023798,0.011599365,0.005840372
88,0.312298758,0.026162228,0.229507104,0.013535339,0.0222426,0.012910844,0.007940643
89,0.249483639,0.051215948,0.153346875,0.011069481,0.021376556,0.007820896,0.004653882
90,0.698722256,0.042297767,0.619940786,0.007343994,0.019827839,0.005747976,0.003563894
91,0.824704098,0.029367961,0.759792747,0.009471805,0.01507075,0.00656742,0.004433414
92,0.119054144,0.063278835,0.017654393,0.009343642,0.017861439,0.006659329,0.004256507
93,0.852903025,0.067020523,0.741702444,0.012837995,0.015424835,0.010098548,0.00581868
94,0.560012101,0.086917793,0.433402905,0.010107142,0.017470094,0.00692692,0.005187247
95,0.570434437,0.08562247,0.452523622,0.013053966,0.008709296,0.006613358,0.003911727
96,0.501459086,0.046267578,0.41866131,0.003992476,0.017669504,0.009277808,0.005590411
97,0.301690071,0.065221779,0.203515915,0.010619602,0.0108013,0.00695275,0.004578726
98,0.728680723,0.092963952,0.596980016,0.009581652,0.017669504,0.005376329,0.006109272
99,0.670039318,0.053333655,0.579310417,0.006042601,0.016026434,0.010296887,0.005029324
100,1.045616519,0.039243343,0.970991592,0.007263934,0.01339652,0.0096039,0.005117231
101,0.114446651,0.061343236,0.020351591,0.00824298,0.01249108,0.006573777,0.005443986
102,0.306292302,0.063866616,0.215487439,0.005364451,0.011013915,0.005754705,0.004805175
103,0.606288803,0.070815517,0.49631623,0.010356131,0.017584799,0.006137747,0.005078379
104,0.54310137,0.04720576,0.467201752,0.009292582,0.005003969,0.009354452,0.005042854
105,0.249481062,0.032436442,0.168426964,0.010128108,0.020404526,0.011220632,0.006864389
106,0.783428573,0.033518135,0.721722109,0.010137376,0.009354744,0.00525086,0.003445348
107,0.545697252,0.067945839,0.439594375,0.006641066,0.013167615,0.010886295,0.007462061
108,0.751968699,0.037069953,0.675032561,0.007277838,0.020568898,0.008045956,0.003973493
109,1.569033691,0.02648128,1.501053965,0.008097783,0.014415282,0.011747387,0.007237995
110,0.100160372,0.051701547,0,0.007477659,0.029180098,0.006956415,0.004844653
111,0.754321824,0,0.69884234,0.005269559,0.038529986,0.007192261,0.004487678
112,0.089103521,0.051178831,0,0.010421929,0.017777681,0.005843659,0.003881421
113,1.476098667,0.050367313,1.389194346,0.00614157,0.013733037,0.008171037,0.008491364
114,0.361914524,0.107104713,0.212085006,0.007747289,0.022158842,0.007585739,0.005232935
115,2.689897415,0.039746063,2.600417432,0.010487557,0.015470353,0.014791327,0.008984683
116,0.336599799,0.10592512,0.178696901,0.010372054,0.022158842,0.012275265,0.007171617
117,0.503544381,0.069654992,0.410288084,0.005513087,0.00920116,0.004510061,0.004376998
118,0.288870778,0.057905732,0.195375278,0.008203825,0.015149388,0.007212709,0.005023846
119,1.088371308,0.069598236,0.97687639,0.008820421,0.020726044,0.007428713,0.004921505
120,0.315440247,0.073283699,0.203515915,0.012574159,0.014641811,0.005367499,0.006057164
121,0.841132774,0.074997263,0.724037795,0.007272446,0.018093383,0.010115539,0.00661635
122,0.523736246,0.060144686,0.421528853,0.00944282,0.014778605,0.011588838,0.006252444
123,0.472798654,0.027441013,0.402961511,0.011978961,0.020900869,0.005520988,0.003995313
124,0.308574112,0.045238853,0.223867506,0.008562814,0.017374153,0.007329995,0.006200791
125,0.685929588,0.081429936,0.567809401,0.009638919,0.014894336,0.007336814,0.004820181
126,1.114777538,0.0321456,1.051203941,0.006997578,0.012277419,0.007877546,0.004275455
127,0.613834686,0.165875795,0.407031829,0.011791331,0.013836256,0.008637387,0.006662087
128,0.570961863,0.059216069,0.481148073,0.00655591,0.014792572,0.005479754,0.003769486
129,0.150735101,0.089377842,0.019280455,0.010010768,0.015757328,0.009954638,0.00635407
130,0.74255175,0.061343236,0.630899335,0.01129948,0.02325663,0.009775072,0.005977997
131,0.897733845,0.060204719,0.789015545,0.014206433,0.020726044,0.008230882,0.005350221
132,0.617739393,0.081721799,0.488438195,0.013923991,0.018248773,0.009491855,0.00591478
133,0.628319594,0.121367173,0.430974878,0.010580578,0.050589523,0.009918362,0.00488908
134,0.287396642,0.048073528,0.200728025,0.008700634,0.021067166,0.004274878,0.00455241
135,0.128950601,0.0662032,0.01786969,0.010766308,0.022158842,0.007631453,0.004321108
136,0.854722192,0.028200844,0.780232441,0.008518152,0.022089855,0.010280681,0.00540022
137,1.141167025,0.037088871,1.073188146,0.008029898,0.005361646,0.012106998,0.005391464
138,0.291387099,0.030159236,0.223867506,0.008862545,0.018810306,0.005802437,0.00388507
139,0.281490459,0.059226949,0.178696901,0.007293809,0.021067166,0.009498666,0.005706968
140,0.566736011,0.081024812,0.459277706,0.010488515,0.007410033,0.004625679,0.003909267
141,0.11081119,0.05420447,0.018090304,0.007798727,0.015373372,0.008687721,0.006656597
142,0.514910453,0.072382165,0.410288084,0.008399674,0.009549452,0.00846644,0.005824638
143,0.485883914,0.024191931,0.411002871,0.009037352,0.023284461,0.011417511,0.006949789
144,0.718160531,0.024147474,0.645998903,0.012645667,0.020832752,0.009483879,0.005051857
145,1.229588137,0.088326255,1.098985938,0.007307643,0.022158842,0.008141355,0.004668104
